COUNTRY,QUARTER,Broad_Money,CPI,Consumption,External_Balance,FDI_Inflows,FX_Reserves,GDP,PPI,Investment,Credit_to_GDP_Gap,Property_Price,Credit_Total,Capital_Inflow,Exchange_Rate,Policy_Rate,Unemployment,Financial_Openness,t_bill_3m,t_note_10y,term_spread,real_interest_rate,dollar_index,brent_oil,wb_commodities,bdi_avg,epu_avg,vix_avg,Recession_BBQ,Growth_Momentum,Historical_Momentum,Real_Interest_Rate,Inflation_Volatility
Indonesia,2018-Q4,0.02673796791443861,0.524822737,0.04761904761904767,-0.97759197324414715,-0.6220588235294118,0.05217391304347818,-0.014925373134328401,NA,-0.009719222462203025,0.004662004662004726,1.3625316455696201,-0.008185538881309573,NA,14795.892214,5.916666666666667,NA,-0.17056256532669067,2.310819672,3.041147541,0.730327869,0.096905688,115.6988541,68.76387097,123.3908168,1330.666667,230.3931995,21.05365079,0,0.03076923076923066,0.006776553915058714,5.391843929666667,0.3790877303964736
Indonesia,2019-Q1,-0.0017361111111111605,0.809103556,-0.07386363636363635,80.7910447761194,1.6186770428015564,0.03305785123966931,-0.0037878787878787845,NA,0.0065430752453652374,-0.009280742459396696,1.075010715816545,0.0027510316368639653,NA,14137.921539,6,3.6388928571428574,-0.17056256532669067,2.388360656,2.65295082,0.264590164,0.758481574,114.5529559,63.09730159,118.375829,671.6666667,222.0942292,16.47,0,-0.014925373134328401,0.022261722341403594,5.190896444,0.11804206156821621
Indonesia,2019-Q2,0.027826086956521667,1.131510234,0.04907975460122693,-0.15328467153284675,0.09509658246656771,-0.008000000000000007,0.041825095057034245,NA,0.0021668472372697867,0.0023419203747070405,0.885457550092956,-0.005486968449931462,NA,14257.623556,6,NA,-0.17056256532669067,2.304920635,2.338888889,0.033968254,0.482357662,115.4291453,69.03650794,119.0956037,1153.666667,249.2707867,15.18301587,0,-0.0037878787878787845,0.018614619211634098,4.868489766,0.26341503351605844
Indonesia,2019-Q3,0.015228426395939021,0.893135887,0.023391812865497075,0.7995689655172413,-0.2048846675712347,0,0.029197080291970767,NA,0.030270270270270183,0.00233644859813098,0.14050944946589983,0.006896551724137945,-0.024908636286330887,14121.532232,5.5,4.419392857142857,-0.17056256532669067,1.98359375,1.79796875,-0.185625,0.234103667,116.4763266,61.94575758,114.4956634,2023,262.4517582,15.96015625,0,0.041825095057034245,0.004018659615674491,4.606864113,0.25039463977062354
Indonesia,2019-Q4,0.023333333333333428,0.086597578,0.04571428571428582,-0.46706586826347307,-0.1416382252559727,0.040322580645161255,-0.01773049645390068,NA,-0.02833158447009443,0,-0.20384245917387123,0.001369863013698458,-0.013481977164198078,14067.96925,5,NA,-0.17056256532669067,1.576935484,1.791935484,0.215,-0.471661704,116.4150623,63.26784615,116.1261083,1449.666667,228.475659,13.98578125,1,0.029197080291970767,0.00770394771160902,4.913402422,0.4502028449098673
Indonesia,2020-Q1,0.04885993485342022,0.780887228,-0.08196721311475408,0.9505617977528089,-0.003976143141153132,-0.06201550387596899,-0.02527075812274371,NA,0.001079913606911509,0.04195804195804209,0.018641409266409115,0.05471956224350216,NA,14266.052232,4.75,3.531,-0.17056256532669067,1.081612903,1.365,0.283387097,-1.063428637,117.7573952,50.27484375,107.3732691,549.3333333,237.7706556,31.22451613,1,-0.01773049645390068,0.022411432187042075,3.969112772,0.44877084016066665
Indonesia,2020-Q2,-0.00776397515527949,0.33793806,-0.04166666666666663,-0.09907834101382484,0.03992015968063867,0.09090909090909083,-0.040740740740740744,NA,-0.07551240560949302,-0.022371364653243853,-0.5074918566775244,0.005188067444876765,NA,14935.765658,4.416666666666667,NA,-0.17056256532669067,0.142222222,0.687619048,0.545396825,-0.267079405,121.8422063,29.69901639,92.21955445,979.3333333,355.551473,34.49365079,1,-0.02527075812274371,0.017763892965034778,4.078728606666667,0.3777965230405567
Indonesia,2020-Q3,0.05633802816901401,-0.009527752,0.06211180124223592,0.751918158567775,-0.28214971209213047,0.022727272727272707,0.05019305019305009,NA,-0.008168028004667427,0.027459954233409523,-0.9329004329004329,0.058064516129032295,0.012496199333795088,14689.918356,4,5.909107142857143,-0.17056256532669067,0.1134375,0.650625,0.5371875,-1.109548334,117.358425,42.91230769,106.6318847,1521,308.6878811,25.80890625,0,-0.040740740740740744,-0.00460139142822454,4.009527752,0.35309849093487544
Indonesia,2020-Q4,0.023703703703703782,0.352711904,0.040935672514619936,-0.2992700729927007,0.39037433155080214,0.007407407407407307,-0.003676470588235281,NA,-0.016470588235294126,-0.015590200445434244,6.797491039426522,0.01585365853658538,NA,14369.537333,3.8333333333333335,NA,-0.17056256532669067,0.092903226,0.864516129,0.771612903,-1.149280337,113.92367,44.31646154,117.2435483,1292,340.8060981,25.62171875,0,0.05019305019305009,-0.02791399843912838,3.4806214293333335,0.32358180823880683
Indonesia,2021-Q1,-0.0014471780028944004,0.744115917,-0.0730337078651685,-0.21979166666666672,0.04807692307692313,0.007352941176470562,-0.011070110701106972,NA,0.11961722488038284,0.006787330316742057,0.07607446564008269,0.032412965186074505,NA,14182.603137,3.5833333333333335,4.28225,-0.17056256532669067,0.051147541,1.335901639,1.284754098,-1.831008505,112.3746917,61.03873016,138.6466325,1724.333333,229.9439554,23.20245902,0,-0.003676470588235281,-0.00527281622347812,2.8392174163333337,0.30799413659025937
Indonesia,2021-Q2,0.03333333333333344,0.383457873,0.036363636363636376,0.09479305740987987,0.13577981651376136,0,0.033582089552238736,NA,-0.030982905982905984,-0.020224719101123556,0.09611277231952164,-0.015116279069767424,NA,14402.439135,3.5,NA,-0.17056256532669067,0.02515625,1.59078125,1.565625,-4.768596737,111.8373984,68.98180328,153.7329546,3010.666667,182.7253707,18,0,-0.011070110701106972,0.0019252796213580226,3.1165421269999998,0.3079300096834208
Indonesia,2021-Q3,0.02384291725105192,0.081408648,0.011695906432748648,0.524390243902439,-0.2552504038772213,0.07299270072992692,0.018050541516245522,NA,-0.009922822491730932,-0.02752293577981657,0.051247077162899446,-0.016528925619834767,NA,14380.857985,3.5,4.322607142857143,-0.17056256532669067,0.0496875,1.32484375,1.27515625,-5.221650582,113.3141391,73.50907692,166.5256466,4197,204.4134592,18.28734375,0,0.033582089552238736,0.01181548963456928,3.418591352,0.27206567162618717
Indonesia,2021-Q4,0.07808219178082187,0.541232,0.06936416184971095,-0.42800000000000005,0.0780911062906724,-0.013605442176870763,0.010638297872340496,NA,-0.030066815144766168,-0.014150943396226467,0.04856348470806293,-0.01080432172869139,NA,14260.72898,3.5,NA,-0.17056256532669067,0.054677419,1.533387097,1.4787096769999999,-6.695858609,114.9794787,79.6090625,187.0936639,2918,229.4293122,19.27515625,0,0.018050541516245522,0.0062785027542988274,2.958768,0.2795801848878117
Indonesia,2022-Q1,-0.007623888182973326,1.269567369,-0.08108108108108103,0.08531468531468533,0.19315895372233394,-0.04137931034482756,-0.010526315789473717,NA,0.11366245694603894,-0.014354066985645786,0.23475340286370883,-0.01092233009708743,NA,14343.065151,3.5,3.8815,-0.17056256532669067,0.312580645,1.951129032,1.638548387,-7.710113858,115.4997726,100.8723438,211.8725943,1938.666667,235.8326427,25.37290323,0,0.010638297872340496,0.013520840122459096,2.230432631,0.504558182922142
Indonesia,2022-Q2,0.010243277848911658,1.855894192,0.05294117647058827,0.44329896907216493,0.342327150084317,-0.021582733812949617,0.03546099290780136,NA,-0.04123711340206182,0.012135922330097193,1.9497494631352899,-0.004907975460122782,NA,14564.641319,3.5,NA,-0.17056256532669067,1.085483871,2.932580645,1.847096774,-7.502686662,118.9632206,113.8352459,228.7352326,2403.333333,269.1741827,27.3984375,0,-0.010526315789473717,0.02075697631360825,1.644105808,0.7839295163564203
Indonesia,2022-Q3,0.008871989860582907,1.432948447,0.011173184357541999,0.02678571428571419,-0.2977386934673367,-0.03676470588235292,0.020547945205479534,NA,0.021505376344086002,-0.03117505995203851,0.5026208503203262,-0.018495684340320562,NA,14936.813481,3.8333333333333335,4.2945714285714285,-0.17056256532669067,2.6690625,3.10109375,0.43203125,-5.620865783,123.5362438,100.708125,230.4612082,1540,263.4989877,24.79272727,0,0.03546099290780136,0.0060541745330374335,2.4003848863333337,0.5479752833455961
Indonesia,2022-Q4,0.07160804020100509,0.877317341,0.05524861878453047,0.14782608695652177,-0.0661896243291592,0.04580152671755733,0.003355704697986628,NA,-0.0463157894736842,-0.00990099009900991,0.08359173126614983,-0.008793969849246075,NA,15564.029005,5.166666666666667,NA,-0.17056256532669067,4.043770492,3.826721311,-0.21704918,-3.056054014,124.8214803,88.72365079,192.5989517,1444.333333,276.8216542,25.00265625,0,0.020547945205479534,0.011857658330222712,4.289349325666667,0.4051290213176107
Indonesia,2023-Q1,-0.028135990621336426,0.975840927,-0.0680628272251309,-0.015151515151515138,0.21264367816091956,0.058394160583941535,-0.010033444816053505,NA,0.08940397350993368,-0.03499999999999992,-0.04426493382615948,-0.017743979721166148,NA,15234.796205,5.75,2.9311785714285716,-0.17056256532669067,4.630645161,3.646290323,-0.984354839,-1.112452727,120.3423435,81.0659375,175.1659404,1020,262.3897286,20.6840625,0,0.003355704697986628,0.015160874107935726,4.774159073,0.4507742980655133
Indonesia,2023-Q2,0.00965018094089265,0.607299767,0.061797752808988804,-0.1384615384615384,-0.1437598736176935,-0.0482758620689655,0.04054054054054057,NA,-0.015197568389057725,0.005181347150258864,-0.38190437576022207,-0.005161290322580725,NA,14882.196584,5.75,NA,-0.17056256532669067,5.076031746,3.595714286,-1.48031746,1.032193292,119.5896587,77.98783333,160.6559456,1214.666667,233.4695574,16.44125,0,-0.010033444816053505,0.019788214270422506,5.142700233,0.34373050580631315
Indonesia,2023-Q3,0.008363201911588902,0.383098251,-0.005291005291005346,0.1607142857142858,-0.1439114391143912,-0.021739130434782594,0.01298701298701288,NA,0.028806584362139898,0.015463917525773141,-0.5152891310929458,0.0038910505836577958,NA,15226.018098,5.75,4.789321428571428,-0.17056256532669067,5.29031746,4.14968254,-1.140634921,1.725635326,120.2047556,86.65140625,162.5958988,1304.666667,192.6840656,15.01323077,0,0.04054054054054057,0.004623401695804219,5.366901749,0.26837499922838964
Indonesia,2023-Q4,0.04620853080568721,0.688054062,0.0585106382978724,0.10769230769230775,0.11206896551724133,0.08148148148148149,0.0064102564102563875,NA,-0.010000000000000009,0.015228426395939021,0.08151155527795129,0.021963824289405576,0.04967643354244933,15626.848437,6,NA,-0.17056256532669067,5.282903226,4.447096774,-0.835806452,2.046705439,121.8610754,84.01238095,164.195321,2163.333333,210.5905699,15.28625,0,0.01298701298701288,0.011287600140824564,5.311945938,0.24491042049979345
Indonesia,2024-Q1,0.006795016987542368,0.868378384,-0.05025125628140703,-0.09027777777777779,0.26356589147286824,-0.04109589041095896,-0.009554140127388533,NA,0.04040404040404044,0.00749999999999984,-0.14794494176532869,0.0037926675094817064,NA,15660.47497,6,NA,-0.17056256532669067,5.233934426,4.156393443,-1.077540984,1.986146014,121.0047161,82.91968254,160.3416443,1776.666667,199.1388623,13.71253968,0,0.0064102564102563875,0.014498036237166648,5.131621616,0.20123811257732366
