COUNTRY,INDEX_TYPE,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
Cayman Islands,Consumer price index (CPI),-2.268449562,-0.769146535,0.057707903,-0.154001354,-0.457041633,0.917058531,0.414313226,-1.130415738,0.106591176,0.652569117,1.366663574,0.283933766,-0.436103324,0.556783331,0.464026318,-0.55528542,1.631022858,-0.128231652,1.780545909,-0.488759773,0.545090567,0.49051263,0.199849707,0.212792315,-0.32264721,-0.496269867,-3.016630585,0.966829255,0.073041728,-0.7879031,-1.049774809,2.323541782,0.15213851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahrain, Kingdom of",Consumer price index (CPI),,,,,,,0.237011172,0.00428469,0.224370908,-0.43707496,-1.627347011,1.272802578,1.616306652,0.387693572,0.421154123,1.185786856,0.025751494,1.33347174,0.663149683,1.100397931,0.656390972,0.600995789,-0.010547971,1.495634678,0.310107087,0.474961098,-0.161464637,0.855113601,0.335427819,1.795243679,0.535253645,0.158989828,-0.582971773,0.561102951,0.779843165,0.970202164,-0.096741144,1.122263074,0.700439381,0.084776569,-0.869602951,1.272634528,0.076345443,0.22046324,0.030850205,-0.883762382,-2.588235294,0.862663906,-0.30790284,-0.549073439,0.034506556,0.655398413,0.205620288,2.462380301,0.033377837,1.234567901,0,-0.659195781,-0.564034506,1.167834501,-0.164907652,0.363396102,0.329163924,0.262467192,-0.556282723
Cyprus,Consumer price index (CPI),0.789870365,-2.805695142,2.080384071,-1.006933976,2.692167134,-1.162514828,1.512241959,0.082761882,1.633195511,-0.435881789,2.477891603,-0.689223058,2.216805277,-0.802401594,1.886472269,-0.827226294,1.111235515,-0.64225009,0.064082918,-1.283621986,-0.149493696,-1.231638418,1.298478435,-0.640917048,-0.11082379,-2.062471552,0.653556801,-1.209165416,0.66894517,-2.335789904,0.709534368,0.423398706,0.509309228,-0.278532837,0.585543142,-1.214452994,0.86022962,-0.725294651,2.256046,0.27454353,0.639947221,-1.612638893,1.112702802,-0.751210833,1.025794244,-0.302313354,-1.522742254,-0.404980253,1.40807205,-0.868239661,2.256468543,1.546307496,1.490567253,0.93259318,4.959301047,1.832499925,0.558675645,-0.897687067,1.348400803,1.694372471,0.131688185,-1.581038968,2.443062979,0.470721679,0.23990291
"Iran, Islamic Republic of",Consumer price index (CPI),5.987261146,0.480769231,2.751196172,2.444703143,1.590909091,2.013422819,2.850877193,2.878464819,4.041450777,6.972111554,10.00330821,6.114865153,4.813947011,5.101033694,5.509605788,7.527029089,10.58887831,8.751138828,8.776336152,6.417040112,4.020158493,2.262535423,2.702564555,4.542386738,3.647825309,2.624076277,2.369278945,2.750675525,2.157984364,1.238029517,0.945865009,2.361622851,1.479974265,2.175928981,2.412951641,1.385841232,2.417490843,1.510837532,2.937191679,11.78912505,15.62019142,7.565563541,8.824244053,4.207578148,4.694141563,4.766107679,5.98146588,12.57551669,15.39330603,7.281850447,6.171571983,9.197378317,9.839614287,6.252799427,11.26093921,15.18581217,7.065473387,10.20677519,10.83832335,6.681073294,7.089804186,6.951450189,7.413411938,7.038968167,7.255480067
Iraq,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,0.547445255,1.429219601,0.492059942,-0.175013969,-0.796431985,0.385356455,-0.287907869,0.256657042,-0.032,0.416133163,-0.12751036,-0.414937759,0.480769231,0.733652313,-0.189993667,-0.222081218,-0.66772655,0.160051216,0.415468201,0.763844685,-1.010739103,-0.031908105,1.468241302,3.397294747,0.973532096,1.596866526,0.711743772,1.825677267,1.156737999,1.257861635,0.056465274,3.668171558,-1.333696244,1.213793103,0.46334151,-13.97178513,0.914538001,1.34375,-0.15417823
Israel,Consumer price index (CPI),-0.042643923,-0.682593857,1.847079038,2.024462252,0.372054568,-0.782537068,1.245330012,1.18901189,0.810372771,0.763665595,1.276426007,0.393855849,0.078462142,0.078400627,0.97924011,0.620636152,-0.115651503,-0.115785411,0.927357032,0.995405819,0.151630023,-0.757002271,0.419527079,0.189897455,-0.075815011,-1.327769347,0.807381776,0.190694127,-0.494861058,-1.03289977,0.541167375,0.461361015,-0.229621125,-0.230149597,0.422914264,-0.191424196,0.268507863,-0.344299923,0.998080614,0.342075257,0.075757576,-0.151400454,0.909780136,-0.41322314,0.075443229,-0.414624953,-0.340651022,0,0.075958982,0.151802657,1.098901099,0.862068966,0.371609067,1.036653091,1.868816416,1.402877698,0.851365733,0.94970102,1.324041812,0.687757909,0.307377049,0.306435138,1.493550577,1.27090301,0.297225892
Jordan,Consumer price index (CPI),-1.489499073,-3.308095203,-0.313346346,2.069295679,0.931438355,1.900235775,0.201566327,1.021673962,2.214146193,0.559417619,0.892229136,0.873475011,0.893887288,0.616836166,1.637344229,1.666615712,1.695215918,1.320059164,0.060934787,1.302155607,0.91312395,0.964172997,0.219594961,0.781979635,0.017211091,-1.921800496,0.83137137,0.245380613,-0.561158367,-1.660270428,0.326974746,1.34451306,0.280333671,1.7876735,0.181904632,0.274450021,1.073743809,2.067615671,1.239622487,0.70793777,0.228545339,-0.989854672,0.902589668,0.36161268,0.276264623,0.331821271,-1.047750633,0.100477873,0.521199452,0.498170803,0.429189445,0.438520494,0.493377795,0.913732948,2.482104123,1.379769503,0.010805299,0.068791853,0.545968096,0.365765071,0.434886343,0.361141431,0.447112526,0.347057552,0.131078592
Kuwait,Consumer price index (CPI),,,,,,,0.992410975,1.387283237,1.311288483,1.181767023,1.112347052,0.99009901,1.279956427,0.887335305,0.053304904,0.665956313,0.926170945,0.734137389,0.572618428,0.491718427,0.824105073,0.996168582,0.48052605,0.528567833,1.001502253,0.96678235,0.883869384,0.632757362,0.604594921,0.985576923,0.642704118,0.969725639,0.866713516,0.427837874,0.185471093,0.297441999,0.59311981,-0.324292453,-0.029577048,0.414201183,0.176782557,0.058823529,0.205761317,0.909357583,0.348837209,0.289687138,0.288850376,1.094470046,1.054131054,0.592049619,0.448430493,1.255580357,1.65334803,0.921658986,0.644641418,0.587136376,1.008224993,1.129498293,0.961038961,0.617442758,0.894911787,0.709579321,0.805234021,0.449326011,0.447316103
Lebanon,Consumer price index (CPI),-1.110722277,-1.526607775,0.320067284,1.259187168,1.948645596,0.024530517,1.05003217,0.367669076,3.076501406,0.991116082,1.094038551,0.088104565,1.201033537,0.994355878,0.528142096,6.568955847,2.117302272,0.359976933,-0.967450982,-0.177462855,1.440459316,1.243289124,0.235823088,-0.331496804,-0.590795074,-2.701254849,0.143847972,-1.278716436,0.012546617,-1.98906439,1.344486816,0.577837561,2.111984806,0.656516428,0.605298776,0.753562633,2.264862853,1.646085773,1.886198701,0.897995108,0.854583655,-0.202440296,1.478759956,-0.867716051,3.836091129,8.160826958,47.49314732,33.51495394,12.10601098,14.93246319,23.8278773,47.53764203,43.05485511,22.50967652,19.6339267,25.95697624,29.66788155,49.9740404,47.14811223,14.92328692,20.69108047,5.076405305,3.365203464,2.544290192,4.511388868
Oman,Consumer price index (CPI),1.831501832,-0.35971223,-0.618875709,0.804359107,1.02960103,0.867526115,0.531703259,1.180110815,1.36192305,0.638484476,0.90284798,1.540800111,0.615813827,0.449734555,0.047128526,1.578061911,0.76517937,-0.756387042,-0.066247102,0.961219755,0.065659882,-0.098425197,0.492610837,0.392156863,0.130208333,-0.390117035,-0.261096606,0.654450262,-0.357607282,0.163132137,0.814332248,0.71082391,-0.064164261,0.834670947,0.063673989,0.254533885,0.253887655,4.02E-14,0.379867047,0.473036897,0.125549278,-0.440721003,0.36678893,0.49833887,-0.066115702,-0.297717499,-0.597213006,0.23364486,-0.266400266,0.233722871,1.532311792,0.557742782,0.978792822,0.549273021,0.353470437,0.192122959,0.735059124,0.317258883,-0.411132195,0.158780565,0.507292327,-0.220820189,0.284539994,0.409836066,0.156985871
