Date,BDI,EPU
01/01/2024,"1,398.00",244.5509568
02/01/2024,"2,111.00",170.4306197
03/01/2024,"1,821.00",182.4350104
04/01/2024,"1,685.00",173.9793196
05/01/2024,"1,815.00",187.4214849
06/01/2024,"2,050.00",175.5803855
07/01/2024,"1,708.00",233.3390558
08/01/2024,"1,814.00",194.4158504
09/01/2024,"2,084.00",205.6992708
10/01/2024,1388,208.6590537
11/01/2024,1354,286.2171026
12/01/2024,997,331.8631041
